"no"	CB3"	"CB4"	"CF2"	"KO1"	"KO2"	"NG1"	"NG2"	"NMSD1"	"NMSD2"	"PP3"	"PP4"	"SB8"	"FUSION"
1002	75.49529417732415	74.19904554869683	71.61382306990656	71.54576552159088	71.17750969047671	65.40036422720028	59.93565216407912	76.43217997140093	76.13987340250956	65.92263964711589	61.36962852437764	26.70608163433746	76.5413254693419
1003	66.28347133975267	68.00511165011271	66.83973216178867	62.28387031357621	66.46614065172814	70.74384601518649	63.78758783472078	70.41458950682336	72.88402731756088	62.412166934234214	63.25825872727366	1.2607540029752393	71.45658556089182
1006	91.19638156244804	90.80060075441094	86.310652513148	86.40411361500978	89.87115584164602	86.0593863564609	82.69114074256005	88.28930083273933	90.45670977022804	81.79285874780275	82.55508547582609	9.081409184313194e-2	92.38500256963616
1007	94.66303491882162	94.48059057888175	92.71277123820622	94.28140931834595	94.62464334349609	87.74380748423374	87.7438074842337	94.40070204637622	94.17218574652475	90.25634434665056	90.388390988541	17.01569915492517	94.93821517212146
1009	85.48138635618474	83.81767940531051	73.25766967136062	81.21809044859783	81.14499643501898	81.73398053594559	77.30406524725801	79.82832891897077	78.94183616093706	77.55571798347637	77.16080807829152	0.10123507030722653	85.68994771563521
1011	95.1784983689899	95.1784983689899	91.45016627172971	93.629264060245	92.66799732309867	84.63258009806006	83.31371208606826	91.69835022257963	90.90066983247165	92.87703595275988	93.03514799355366	4.4721274862595986e-2	95.03456839417139
1012	64.62184542939886	64.22745899625286	58.18651618775754	68.73581904592781	66.31041358347116	73.84188963857662	55.08043618178887	66.13973319645653	62.548631907621456	58.55835297171641	44.204224326901596	4.021939424393213	69.12400444583226
1013	66.76161184101717	60.47252176540451	50.5032746359387	55.55484456581715	55.733456589015915	55.58193273615699	55.6789690927723	64.12936596552483	61.81297660300523	57.444851038889425	55.79334122395696	8.516466275213563	66.1249645463295
1014	80.59128656594504	80.97425598395913	64.00012765870758	90.88698991243173	39.77587986311995	81.75841111051743	81.47836552584256	68.95555332862241	68.48114088168167	57.69624228122455	73.44716283798589	2.783649993979345	83.96803877887585
1016	74.12394337198187	81.04406762679541	66.88987138708306	71.47328247919617	75.838000679877	41.944043883208195	62.14786030946967	81.59786541639744	86.03889986510704	70.04018352006568	65.66079683481526	7.138555570618582	79.30984821344865
1018	81.945213317194	82.37081889077591	81.2318424829925	73.5614533059753	66.59954535555944	85.59898219446654	84.31474816271042	76.51479794169333	74.1949640121158	89.32810465751587	89.32810465751587	7.919236623579602	83.81224545552813
1019	70.1440884410046	76.19837997559306	76.14122134808238	73.64623828498502	72.88921461434886	69.5237316872866	70.79140305015056	86.02891092200511	75.62274604511713	76.94359866201164	74.52587080549411	3.5965177775712522	86.53345330940225
1020	52.43202318132264	30.418834208082025	34.72138736400227	64.0488530718059	44.24956154005512	39.78587151645985	53.13755804794148	70.45885187196966	57.83939190264758	63.71126599983425	66.69873784864052	2.2505237480871596	65.03250077487066
1021	96.94729365298723	96.41247631741327	92.74551128773474	95.69040356034803	94.62928950523072	92.6770137348639	77.53378244537662	97.1884469322782	97.1884469322782	95.92827314541795	96.25175936343847	0.5098499463513495	96.93877303695653
1022	84.86711390598197	86.90372273010479	86.79107000826824	96.61333601882947	95.0762079872365	89.90653192122463	90.37041660334654	93.99531060095279	92.86849002626572	95.18998879609053	95.02089600247767	27.56807817441122	97.67581713375756
1024	79.1420808552106	75.99708616373184	60.51507632522212	64.85420823747324	69.97414596188116	66.5243046434624	56.576381861005075	75.76179641204702	76.90659879278346	63.83587833893716	45.51788320342203	10.335413077119052	74.63571986075654
1025	73.57030971392143	71.01446839534405	75.1505345409755	73.62119112363736	78.36409797452143	60.288650163432536	52.86950521188247	72.13932871793463	71.07178279772889	66.97960454894793	67.10964830637778	2.429117855823606	77.8330457796312
