"id"	"CB3"	"CB4"	"CF2"	"CM3"	"JR2"	"NG1"	"NG2"	"PP3"	"PP4"	"SB8"	"FUSION"
1301	94.86	93.37	90.1	90.1	88.05	86.62	86.01	92.95	93.58	0.12	93.37
1302	82.64	81.37	79.37	79.37	70.71	73.43	74.23	80.34	77.65	9.0e-2	83.07
1305	98.76	98.78	71.47	71.47	35.98	20.72	48.94	29.46	85.79	0.92	81.2
1306	73.27	69.66	75.14	75.14	64.16	81.9	74.12	71.96	53.94	5.67	80.63
1309	71.09	75.31	47.97	47.97	37.52	55.6	46.75	27.93	29.84	16.03	54.29
1310	70.66	71.03	79.43	79.43	53.9	53.68	37.87	75.59	56.72	2.6	79.67
1311	90.97	91.35	90.55	90.55	69.75	89.02	90.63	79.32	91.05	3.0e-2	90.94
1312	67.1	67.25	70.9	70.9	57.29	46.45	46.54	57.62	54.8	9.21	65.41
1313	72.31	71.65	72.31	72.31	66.96	69.01	66.94	72.87	72.72	8.37	73.49
1318	59.71	58.5	63.26	63.26	53.49	67.52	63.25	60.53	53.92	13.89	68.83
1319	75.09	76.27	43.94	43.94	38.78	60.68	45.2	54.8	50.17	18.76	55.19
1321	76.94	74.22	69.97	69.97	53.7	62.72	65.69	64.83	71.6	18.3	72.62
1322	26.29	56.36	57.65	57.65	43.69	35.25	22.36	50.75	54.68	9.0e-2	57.65
1324	89.37	89.2	90.96	90.96	80.65	89.93	85.86	88.58	88.22	21.76	90.03
1327	53.53	83.5	26.42	26.42	23.45	36.98	29.92	59.3	57.06	5.92	58.12
1329	81.05	80.84	82.33	82.33	80.67	80.91	76.64	83.15	84.21	5.18	82.16
1330	83.82	85.07	72.0	72.0	61.23	83.74	72.23	76.36	69.64	15.16	84.85
1331	86.36	86.51	83.35	83.35	62.28	76.58	82.37	61.49	85.01	1.96	90.31
1332	87.25	88.17	85.07	85.07	80.63	91.35	83.5	88.01	86.98	0.93	90.27
1333	95.02	94.79	91.89	91.89	80.82	89.74	87.94	94.38	95.8	7.0e-2	95.04
1334	94.59	94.94	91.0	91.0	85.16	90.08	91.01	87.8	90.56	4.52	95.35
1335	74.11	75.55	60.62	60.62	52.58	69.07	63.42	69.72	67.38	9.09	76.17
1336	81.98	80.97	78.5	78.5	66.73	80.85	74.19	87.1	85.78	0.1	84.87
1337	71.42	74.07	57.53	57.53	53.45	63.55	64.41	58.75	58.71	6.53	62.69
1339	87.22	88.74	84.3	84.3	79.87	81.99	76.65	86.25	87.64	13.51	88.98
1340	75.82	76.13	71.93	71.93	62.82	76.4	69.91	70.88	66.18	8.16	76.56
1342	74.63	81.88	79.69	79.69	71.93	71.77	63.96	79.27	75.41	7.47	80.0
1344	85.11	85.41	72.2	72.2	55.95	78.06	70.9	76.33	79.42	6.57	81.99
1345	94.76	95.39	67.22	67.22	62.85	71.81	76.22	67.71	80.86	16.64	79.81
1346	84.84	86.19	71.25	71.25	66.01	70.13	68.63	75.74	81.05	10.34	77.6
1347	79.77	79.19	76.02	76.02	67.81	76.04	75.76	77.23	77.79	2.52	80.68
1350	82.97	83.17	78.0	78.0	71.79	81.83	76.64	77.95	76.62	6.0e-2	82.59
1353	1.82	1.63	6.0e-2	6.0e-2	2.34	0.19	0.19	2.2	2.2	12.66	1.82
1354	85.37	85.59	81.13	81.13	60.69	70.19	74.24	68.13	69.37	13.13	83.06
1355	75.78	69.6	86.77	86.77	50.52	81.67	56.48	65.51	60.72	6.0e-2	88.62
1357	88.84	90.73	85.93	85.93	77.37	84.92	76.56	79.32	75.51	27.54	90.28
1358	57.31	54.43	52.4	52.4	40.71	48.08	42.17	55.34	55.54	4.91	55.5
1359	90.75	92.64	75.51	75.51	72.24	86.99	82.77	81.64	79.63	0.83	90.8
1360	77.46	75.37	71.09	71.09	74.23	71.95	69.3	76.77	71.67	15.41	78.3
1361	83.76	84.54	78.27	78.27	77.47	75.92	70.85	83.48	83.9	8.0e-2	84.37
1362	74.77	77.15	75.96	75.96	70.85	58.07	57.83	76.09	76.13	10.5	78.18
1364	90.15	91.4	85.99	85.99	74.13	90.92	81.94	89.55	85.33	19.09	91.17
1366	67.37	65.41	63.85	63.85	60.71	63.46	62.0	64.58	63.13	6.0e-2	66.24
1367	4.8	4.8	2.84	2.84	62.16	0.26	0.26	2.83	2.83	18.06	4.26
1368	53.44	56.04	58.18	58.18	29.96	48.32	51.07	35.43	51.18	6.58	59.4
1369	94.79	93.4	88.64	88.64	83.71	89.21	86.34	90.2	91.96	0.77	93.91
1370	91.59	89.97	84.26	84.26	79.13	83.4	83.1	84.41	85.31	6.23	90.1
1371	3.41	3.71	3.3	3.3	2.79	0.54	0.54	2.03	2.03	9.56	2.85
1372	77.05	76.74	73.97	73.97	65.5	69.72	64.56	76.39	76.39	14.14	77.79
1373	60.51	60.05	48.98	48.98	41.96	45.48	28.71	47.96	42.65	11.22	54.28
1376	93.58	92.77	90.49	90.49	87.34	86.59	86.13	94.88	95.27	26.64	93.5
1377	89.93	91.41	89.67	89.67	72.15	86.06	67.13	67.86	67.91	9.0	91.5
1378	80.14	82.83	70.45	70.45	47.8	64.36	64.52	64.0	62.6	0.14	78.91
1380	95.04	95.17	92.6	92.6	92.78	94.51	91.2	93.92	93.92	5.0e-2	95.96
1382	88.48	90.32	87.09	87.09	71.51	92.22	77.1	90.42	79.04	20.44	90.95
1383	51.83	49.4	53.58	53.58	48.96	51.76	38.87	51.95	46.36	0.44	52.1
1384	80.32	81.39	76.02	76.02	73.56	79.44	80.05	79.69	79.69	8.0e-2	81.41
1385	95.36	95.14	90.0	90.0	85.9	94.82	91.61	89.78	90.33	8.7	96.28
1386	85.29	84.47	81.64	81.64	75.41	88.18	86.85	70.63	70.25	8.47	86.29
1390	85.71	86.54	81.13	81.13	79.55	83.92	69.15	83.09	74.25	1.59	85.12
1391	89.26	89.35	70.7	70.7	58.07	79.05	69.11	69.45	56.94	5.0e-2	84.73
1392	71.97	76.1	72.0	72.0	67.53	75.22	77.82	65.69	73.38	11.59	76.49
1394	88.73	92.08	80.95	80.95	68.24	80.35	77.16	72.16	79.34	0.18	89.41
1396	2.71	2.71	0.1	0.1	85.01	9.0e-2	9.0e-2	0.88	0.88	12.83	0.47
1397	69.44	71.5	66.49	66.49	67.59	70.36	64.1	73.87	71.38	13.84	73.55
1398	86.94	87.39	81.3	81.3	67.17	75.64	71.09	80.25	78.5	12.16	87.01
1399	82.91	83.01	79.48	79.48	76.54	78.25	77.38	81.72	80.39	8.0e-2	82.97
1400	70.45	70.44	71.71	71.71	61.9	68.51	65.57	67.3	67.6	13.22	71.39
1401	62.89	57.8	50.98	50.98	34.68	52.98	46.75	47.48	45.72	6.0e-2	54.87
1402	77.29	82.03	80.34	80.34	64.01	70.73	64.66	70.66	69.08	16.88	83.24
1403	3.97	3.85	77.11	77.11	3.13	78.21	76.24	78.74	76.05	0.8	77.55
1404	80.38	76.3	66.18	66.18	51.06	64.61	68.35	71.63	56.5	9.14	80.49
1406	92.81	92.99	90.34	90.34	82.01	83.08	81.67	93.4	93.37	19.84	93.13
1407	91.1	88.93	85.4	85.4	82.51	83.76	70.36	85.0	78.02	5.83	88.87
1408	77.46	75.37	71.14	71.14	74.23	71.95	69.3	76.8	71.67	15.41	78.3
1411	90.36	90.03	89.24	89.24	76.19	87.55	87.27	88.37	88.17	3.02	89.86
1414	88.47	89.53	81.83	81.83	73.0	85.76	74.82	83.12	86.47	12.79	87.05
1415	97.51	97.51	96.01	96.01	92.63	88.94	89.68	97.7	97.7	11.53	97.72
1416	79.56	81.97	80.9	80.9	67.69	75.24	72.56	75.23	70.07	7.78	82.22
1417	87.06	87.13	83.12	83.12	70.15	78.12	80.14	85.6	85.87	3.07	88.46
1420	84.7	81.37	73.99	73.99	60.64	80.57	69.57	75.66	75.63	9.59	81.28
1423	72.67	75.2	65.02	65.02	59.59	51.33	49.81	56.74	54.54	2.81	69.75
1425	75.95	76.8	74.49	74.49	67.47	71.38	72.18	71.97	70.99	2.92	76.75
1426	86.84	82.94	87.05	87.05	80.16	77.79	66.14	77.5	78.59	9.0e-2	86.84
1428	78.94	80.94	77.48	77.48	73.07	75.93	69.61	79.05	78.79	11.32	79.43
1429	86.41	85.93	76.5	76.5	77.32	76.44	81.15	79.7	82.17	3.29	81.77
1431	92.98	92.73	93.08	93.08	81.72	89.87	87.83	91.14	91.53	8.0	94.34
1433	51.74	52.35	63.37	63.37	43.65	50.5	64.81	62.47	76.53	9.0e-2	56.86
1434	95.8	95.93	84.67	84.67	85.43	93.03	94.83	82.26	87.96	8.3	95.18
1435	69.64	68.59	64.42	64.42	51.14	65.43	63.11	59.65	60.11	5.66	69.88
1437	96.16	96.56	94.11	94.11	94.26	94.34	93.33	89.81	92.08	36.48	95.94
1438	87.72	86.69	73.33	73.33	1.75	83.68	76.59	78.96	78.24	9.41	83.02
1439	97.64	96.24	95.5	95.5	84.56	92.55	87.36	93.03	96.41	0.1	96.79
1440	79.77	74.47	71.98	71.98	67.22	75.65	74.12	77.11	78.04	37.14	78.27
1441	94.33	93.75	88.88	88.88	73.99	83.52	79.51	86.69	86.69	6.59	93.61
1443	89.92	89.4	87.81	87.81	70.78	77.11	82.67	81.31	81.04	23.55	90.18
